127.0.0.1 - - [20/Jan/2026:14:47:12 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:47:15 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:47:15 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:48:16 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:18 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:50 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:01 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:16 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:17 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:17 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:17 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:34 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:35 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:35 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:35 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:35 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:35 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:36 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:36 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:45 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:45 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:45 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:51:46 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:52:07 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:52:24 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:52:25 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:52:25 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:52:25 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [20/Jan/2026:15:28:02 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [20/Jan/2026:15:28:02 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jan/2026:15:28:27 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [20/Jan/2026:15:52:24 +0530] "GET /jsp-servlet/index.jsp HTTP/1.1" 200 194
